Lon,Lat,Clave,Edo,Est,Tmed
-103.26,25.77,FIMCL,COAH,Francisco I. Madero Coah.,13.9
-101.02,25.38,STOCL,COAH,Saltillo Coah.,13.8
-103.45,25.54,TORCL,COAH,Observatorio de TorreÛn Coah.,16.5
-103.47,25.54,CYTCL,COAH,Coyote Coah.,14.5
-100.93,25.56,ARACL,COAH,Ramos Arizpe Aeropuerto Coah.,14.0
-102.98,25.76,SPECL,COAH,San Pedro Coah.,14.7
-102.06,26.98,CCGCL,COAH,Cuatro CiÈnegas Coah.,14.0
-101,27.42,PRSCL,COAH,Progreso Coah.,12.6
-100.62,27.52,VCRCL,COAH,Venustiano Carranza Coah.,13.3
-101.12,27.85,SBNCL,COAH,Sabinas Coah.,13.0
-100.9,29.03,ZPTCL,COAH,Zapata Coah.,12.3
-100.95,29.03,SMGCL,COAH,San Miguel Coah.,13.9
-100.95,29.33,CDACL,COAH,Ciudad AcuÒa Coah.,12.0
-101.06,29.45,AMSCL,COAH,Internacional La Amistad Coah.,11.8
-100.84,28.34,ADLCL,COAH,Allende Coah.,13.2
-102.81,25.33,VSCCL,COAH,Viesca Coah.,16.3
-101.02,25.38,SALCL,COAH,Observatorio de Saltillo Coah.,14.8
-101.02,25.38,SALTILLOob,COAH,Observatorio de Saltillo Coah. SMN*,14.2
-103.23,25.53,MATCL,COAH,Matamoros Coah.,14.6
-100.95,27.52,VCARRANZA,COAH,Venustiano Carranza Coah. SMN*,15.2
-101.33,27.92,NUEVAROSITA,COAH,Nueva Rosita Coah. SMN*,14.4
-101.71,28.01,MORELOSMUZQUIZ,COAH,Morelos M˙zquiz Coah. SMN*,13.0
-101.21,28.4,SANTACECILIA,COAH,Santa Cecilia Coah. SMN*,11.5
-100.57,28.68,PNEGRASob,COAH,Observatorio de Piedras Negras Coah. SMN*,13.8
-102.52,28.83,OCAMPO,COAH,Ocampo Coah. SMN*,9.7
-100.92,25.44,ESLCL,COAH,SecretarÌa de Agricultura Saltillo Coah.,12.6
-101.42,26.91,MCVCL,COAH,Observatorio de Monclova Coah.,13.8
